date,home,away,predicted_margin,actual_margin,predicted_win_prob,model_correct,margin_error,predicted_total,actual_total,total_error,confidence,games_used_home,games_used_away
2024-05-25,LA,IND,5.41,-5.0,0.6689,False,10.41,149.2,151.0,1.8000000000000114,Medium,3,5
2024-05-25,MIN,NY,-0.09,17.0,0.4971,False,17.09,174.1,151.0,23.099999999999994,Low,3,5
2024-05-26,LV,IND,8.85,19.0,0.7596,True,10.15,167.7,179.0,11.300000000000011,High,3,6
2024-05-26,SEA,WAS,2.3,32.0,0.5742,True,29.7,150.5,170.0,19.5,Low,5,5
2024-05-28,CON,PHX,5.08,23.0,0.6594,True,17.92,175.7,117.0,58.69999999999999,Medium,5,5
2024-05-28,IND,LA,-0.17,-6.0,0.4945,True,5.83,151.0,170.0,19.0,Low,7,5
2024-05-29,CHI,SEA,1.8,-9.0,0.5583,False,10.8,165.3,145.0,20.30000000000001,Low,4,6
2024-05-29,NY,PHX,8.01,3.0,0.7391,True,5.01,162.6,159.0,3.5999999999999943,High,6,6
2024-05-29,WAS,ATL,-1.66,-6.0,0.4462,True,4.34,157.3,140.0,17.30000000000001,Low,6,4
2024-05-30,MIN,LV,3.68,-14.0,0.6173,False,17.68,174.8,146.0,28.80000000000001,Medium,5,4
2024-05-30,IND,SEA,-2.86,-15.0,0.408,True,12.14,159.5,191.0,31.5,Low,8,7
2024-05-31,CHI,LA,2.77,10.0,0.5889,True,7.23,157.7,156.0,1.6999999999999886,Low,5,6
2024-05-31,ATL,LV,1.12,4.0,0.5364,True,2.88,172.8,152.0,20.80000000000001,Low,5,5
2024-05-31,CON,DAL,5.17,2.0,0.6621,True,3.17,169.9,146.0,23.900000000000006,Medium,6,5
2024-05-31,NY,WAS,7.77,11.0,0.7332,True,3.2300000000000004,153.7,169.0,15.300000000000011,High,7,7
2024-06-01,MIN,PHX,6.25,24.0,0.6926,True,17.75,166.7,166.0,0.6999999999999886,Medium,6,7
2024-06-01,IND,CHI,-2.67,1.0,0.4141,False,3.67,160.7,141.0,19.69999999999999,Low,9,6
2024-06-02,ATL,CON,-0.93,-19.0,0.4698,True,18.07,161.3,119.0,42.30000000000001,Low,6,7
2024-06-02,PHX,LA,0.44,19.0,0.5144,True,18.56,159.2,155.0,4.199999999999989,Low,8,7
2024-06-02,NY,IND,11.28,36.0,0.8126,True,24.72,162.8,172.0,9.199999999999989,High,8,10
2024-06-02,MIN,DAL,5.06,11.0,0.6588,True,5.94,170.8,163.0,7.800000000000011,Medium,7,6
2024-06-04,CON,WAS,9.35,17.0,0.7712,True,7.65,151.6,135.0,16.599999999999994,High,8,8
2024-06-05,CHI,NY,-1.97,-13.0,0.4365,True,11.03,163.7,163.0,0.6999999999999886,Low,7,9
2024-06-05,SEA,PHX,6.47,18.0,0.6988,True,11.530000000000001,166.6,142.0,24.599999999999994,Medium,8,9
2024-06-06,DAL,LV,-0.93,-14.0,0.4697,True,13.07,172.1,176.0,3.9000000000000057,Low,7,6
2024-06-06,LA,MIN,-4.26,-24.0,0.3649,True,19.740000000000002,163.6,148.0,15.599999999999994,Medium,8,8
2024-06-06,WAS,CHI,-0.91,-8.0,0.4705,True,7.09,150.0,150.0,0.0,Low,9,8
2024-06-06,ATL,NY,-1.3,-17.0,0.4579,True,15.7,160.7,139.0,21.69999999999999,Low,7,10
2024-06-07,WAS,IND,2.7,-2.0,0.5867,False,4.7,155.7,168.0,12.300000000000011,Low,10,11
2024-06-08,LV,SEA,2.02,-13.0,0.5654,False,15.02,170.9,143.0,27.900000000000006,Low,7,9
2024-06-08,LA,DAL,-0.71,9.0,0.4771,False,9.71,160.1,153.0,7.099999999999994,Low,9,8
2024-06-08,PHX,MIN,-5.67,1.0,0.3236,False,6.67,164.7,161.0,3.6999999999999886,Medium,10,9
2024-06-08,CON,NY,2.53,-7.0,0.5816,False,9.53,159.0,157.0,2.0,Low,9,11
2024-06-08,CHI,ATL,3.39,-9.0,0.6084,False,12.39,151.7,169.0,17.30000000000001,Medium,9,8
2024-06-09,NY,WAS,11.88,5.0,0.8241,True,6.880000000000001,157.1,181.0,23.900000000000006,High,12,11
2024-06-09,DAL,PHX,4.54,-7.0,0.6435,False,11.54,162.2,187.0,24.80000000000001,Medium,9,11
2024-06-09,MIN,SEA,4.65,19.0,0.6467,True,14.35,164.7,147.0,17.69999999999999,Medium,10,10
2024-06-10,LA,LV,-2.85,4.0,0.4085,False,6.85,161.8,188.0,26.19999999999999,Low,10,8
2024-06-10,CON,IND,12.31,17.0,0.832,True,4.6899999999999995,158.0,161.0,3.0,High,10,12
2024-06-11,ATL,WAS,5.6,-19.0,0.6744,False,24.6,151.2,155.0,3.8000000000000114,Medium,9,12
2024-06-12,LV,MIN,-1.82,-14.0,0.4411,True,12.18,168.8,186.0,17.19999999999999,Low,9,11
